is_completed,coverage_rate,repeated_coverage,accumulated_pos,step
False,0.06896551724137931,0.0,0.11353892440767205,1
False,0.13793103448275862,0.0,0.25477623166603985,2
False,0.20689655172413793,0.0,0.3883978939450921,3
False,0.27586206896551724,0.0,0.5053215494546822,4
False,0.3448275862068966,0.0,0.6211169612636329,5
False,0.41379310344827586,0.0,0.6975554719819481,6
False,0.4827586206896552,0.0,0.747254606995111,7
False,0.5517241379310345,0.0,0.7857089131252352,8
False,0.6206896551724138,0.0,0.8108499435878151,9
False,0.6724137931034483,0.017241379310344827,0.8219631440391126,10
False,0.7241379310344828,0.034482758620689655,0.8347499059796918,11
False,0.7586206896551724,0.06896551724137931,0.8465776607747275,12
False,0.8103448275862069,0.08620689655172414,0.8740127867619407,13
False,0.8620689655172413,0.10344827586206896,0.8851823993982701,14
False,0.896551724137931,0.13793103448275862,0.8911244828883039,15
False,0.9137931034482759,0.1896551724137931,0.8930048890560361,16
False,0.9137931034482759,0.25862068965517243,0.8930048890560361,17
False,0.9137931034482759,0.3275862068965517,0.8930048890560361,18
False,0.9310344827586207,0.3793103448275862,0.8941519368183528,19
False,0.9482758620689655,0.43103448275862066,0.8952613764573149,20
False,0.9655172413793104,0.4827586206896552,0.896784505453178,21
False,0.9827586206896551,0.5344827586206896,0.8982888303873637,22
True,1.0,0.5862068965517241,0.9,23
