is_completed,coverage_rate,repeated_coverage,accumulated_pos,step
False,0.06896551724137931,0.0,0.12908988341481759,1
False,0.13793103448275862,0.0,0.2999811959383227,2
False,0.20689655172413793,0.0,0.4416886047386236,3
False,0.27586206896551724,0.0,0.5614516735614893,4
False,0.3448275862068966,0.0,0.6322489657766078,5
False,0.41379310344827586,0.0,0.6966904851447915,6
False,0.4827586206896552,0.0,0.7550582925911999,7
False,0.5517241379310345,0.0,0.785276419706657,8
False,0.6206896551724138,0.0,0.8023317036479882,9
False,0.6724137931034483,0.017241379310344827,0.8127303497555475,10
False,0.7241379310344828,0.034482758620689655,0.8284129371944342,11
False,0.7758620689655172,0.05172413793103448,0.8458254983076346,12
False,0.8275862068965517,0.06896551724137931,0.8661150808574655,13
False,0.8793103448275862,0.08620689655172414,0.8849755547198197,14
False,0.9310344827586207,0.10344827586206896,0.8945280180518995,15
False,0.9655172413793104,0.13793103448275862,0.8977435125987215,16
False,0.9655172413793104,0.20689655172413793,0.8977435125987215,17
False,0.9827586206896551,0.25862068965517243,0.8988529522376836,18
True,1.0,0.3103448275862069,0.9000000000000002,19
