accumulated_pos,step,coverage_rate,repeated_coverage,algorithm
0.024238435502068445,0,0.034482758620689655,0.0,PPO
0.08115833019932306,1,0.06896551724137931,0.0,PPO
0.1684467845054532,2,0.10344827586206896,0.0,PPO
0.21863482512222643,3,0.1206896551724138,0.017241379310344827,PPO
0.2719819481007898,4,0.13793103448275862,0.034482758620689655,PPO
0.3063933809702896,5,0.15517241379310345,0.05172413793103448,PPO
0.3565438134637082,6,0.1724137931034483,0.06896551724137931,PPO
0.41154569386987594,7,0.20689655172413793,0.06896551724137931,PPO
0.444979315532155,8,0.22413793103448276,0.08620689655172414,PPO
0.5157578036855961,9,0.25862068965517243,0.08620689655172414,PPO
0.5385107183151561,10,0.29310344827586204,0.08620689655172414,PPO
0.5788078224896578,11,0.3275862068965517,0.08620689655172414,PPO
0.6314591951861602,12,0.3620689655172414,0.08620689655172414,PPO
0.654136893569011,13,0.39655172413793105,0.08620689655172414,PPO
0.6962955998495676,14,0.43103448275862066,0.08620689655172414,PPO
0.700695750282061,15,0.4482758620689655,0.10344827586206896,PPO
0.7119969913501317,16,0.4827586206896552,0.10344827586206896,PPO
0.7236743136517488,17,0.5172413793103449,0.10344827586206896,PPO
0.7308386611508086,18,0.5517241379310345,0.10344827586206896,PPO
0.7378149680330952,19,0.5862068965517241,0.10344827586206896,PPO
0.747198194810079,20,0.6206896551724138,0.10344827586206896,PPO
0.7486837156825874,21,0.6379310344827587,0.1206896551724138,PPO
0.7503196690485144,22,0.6551724137931034,0.13793103448275862,PPO
0.7819857089131252,23,0.6896551724137931,0.13793103448275862,PPO
0.7986084994358782,24,0.7068965517241379,0.15517241379310345,PPO
0.8163031214742384,25,0.7413793103448276,0.15517241379310345,PPO
0.8266265513350884,26,0.7586206896551724,0.1724137931034483,PPO
0.8299736743136518,27,0.7931034482758621,0.1724137931034483,PPO
0.838209853328319,28,0.8275862068965517,0.1724137931034483,PPO
0.8479315532154946,29,0.8448275862068966,0.1896551724137931,PPO
0.862072207596841,30,0.8620689655172413,0.20689655172413793,PPO
0.8782813087626928,31,0.896551724137931,0.20689655172413793,PPO
0.8793907484016549,32,0.9137931034482759,0.22413793103448276,PPO
0.8849003384731103,33,0.9310344827586207,0.2413793103448276,PPO
0.8864234674689735,34,0.9482758620689655,0.25862068965517243,PPO
0.8967845054531781,35,0.9655172413793104,0.25862068965517243,PPO
0.8984956750658144,36,0.9827586206896551,0.27586206896551724,PPO
0.9000000000000001,37,1.0,0.29310344827586204,PPO
0.024238435502068445,0,0.034482758620689655,0.0,PPO
0.08115833019932306,1,0.06896551724137931,0.0,PPO
0.1684467845054532,2,0.10344827586206896,0.0,PPO
0.21863482512222643,3,0.1206896551724138,0.017241379310344827,PPO
0.2719819481007898,4,0.13793103448275862,0.034482758620689655,PPO
0.3063933809702896,5,0.15517241379310345,0.05172413793103448,PPO
0.3565438134637082,6,0.1724137931034483,0.06896551724137931,PPO
0.41154569386987594,7,0.20689655172413793,0.06896551724137931,PPO
0.444979315532155,8,0.22413793103448276,0.08620689655172414,PPO
0.5157578036855961,9,0.25862068965517243,0.08620689655172414,PPO
0.5385107183151561,10,0.29310344827586204,0.08620689655172414,PPO
0.5788078224896578,11,0.3275862068965517,0.08620689655172414,PPO
0.6314591951861602,12,0.3620689655172414,0.08620689655172414,PPO
0.654136893569011,13,0.39655172413793105,0.08620689655172414,PPO
0.6962955998495676,14,0.43103448275862066,0.08620689655172414,PPO
0.700695750282061,15,0.4482758620689655,0.10344827586206896,PPO
0.7119969913501317,16,0.4827586206896552,0.10344827586206896,PPO
0.7236743136517488,17,0.5172413793103449,0.10344827586206896,PPO
0.7308386611508086,18,0.5517241379310345,0.10344827586206896,PPO
0.7378149680330952,19,0.5862068965517241,0.10344827586206896,PPO
0.747198194810079,20,0.6206896551724138,0.10344827586206896,PPO
0.7486837156825874,21,0.6379310344827587,0.1206896551724138,PPO
0.7503196690485144,22,0.6551724137931034,0.13793103448275862,PPO
0.7819857089131252,23,0.6896551724137931,0.13793103448275862,PPO
0.7986084994358782,24,0.7068965517241379,0.15517241379310345,PPO
0.8163031214742384,25,0.7413793103448276,0.15517241379310345,PPO
0.8266265513350884,26,0.7586206896551724,0.1724137931034483,PPO
0.8299736743136518,27,0.7931034482758621,0.1724137931034483,PPO
0.838209853328319,28,0.8275862068965517,0.1724137931034483,PPO
0.8479315532154946,29,0.8448275862068966,0.1896551724137931,PPO
0.862072207596841,30,0.8620689655172413,0.20689655172413793,PPO
0.8782813087626928,31,0.896551724137931,0.20689655172413793,PPO
0.8793907484016549,32,0.9137931034482759,0.22413793103448276,PPO
0.8849003384731103,33,0.9310344827586207,0.2413793103448276,PPO
0.8864234674689735,34,0.9482758620689655,0.25862068965517243,PPO
0.8967845054531781,35,0.9655172413793104,0.25862068965517243,PPO
0.8984956750658144,36,0.9827586206896551,0.27586206896551724,PPO
0.9000000000000001,37,1.0,0.29310344827586204,PPO
0.024238435502068445,0,0.034482758620689655,0.0,PPO
0.08115833019932306,1,0.06896551724137931,0.0,PPO
0.1684467845054532,2,0.10344827586206896,0.0,PPO
0.21863482512222643,3,0.1206896551724138,0.017241379310344827,PPO
0.2719819481007898,4,0.13793103448275862,0.034482758620689655,PPO
0.3063933809702896,5,0.15517241379310345,0.05172413793103448,PPO
0.3565438134637082,6,0.1724137931034483,0.06896551724137931,PPO
0.41154569386987594,7,0.20689655172413793,0.06896551724137931,PPO
0.444979315532155,8,0.22413793103448276,0.08620689655172414,PPO
0.5157578036855961,9,0.25862068965517243,0.08620689655172414,PPO
0.5385107183151561,10,0.29310344827586204,0.08620689655172414,PPO
0.5788078224896578,11,0.3275862068965517,0.08620689655172414,PPO
0.6314591951861602,12,0.3620689655172414,0.08620689655172414,PPO
0.654136893569011,13,0.39655172413793105,0.08620689655172414,PPO
0.6962955998495676,14,0.43103448275862066,0.08620689655172414,PPO
0.700695750282061,15,0.4482758620689655,0.10344827586206896,PPO
0.7119969913501317,16,0.4827586206896552,0.10344827586206896,PPO
0.7236743136517488,17,0.5172413793103449,0.10344827586206896,PPO
0.7308386611508086,18,0.5517241379310345,0.10344827586206896,PPO
0.7378149680330952,19,0.5862068965517241,0.10344827586206896,PPO
0.747198194810079,20,0.6206896551724138,0.10344827586206896,PPO
0.7486837156825874,21,0.6379310344827587,0.1206896551724138,PPO
0.7503196690485144,22,0.6551724137931034,0.13793103448275862,PPO
0.7819857089131252,23,0.6896551724137931,0.13793103448275862,PPO
0.7986084994358782,24,0.7068965517241379,0.15517241379310345,PPO
0.8163031214742384,25,0.7413793103448276,0.15517241379310345,PPO
0.8266265513350884,26,0.7586206896551724,0.1724137931034483,PPO
0.8299736743136518,27,0.7931034482758621,0.1724137931034483,PPO
0.838209853328319,28,0.8275862068965517,0.1724137931034483,PPO
0.8479315532154946,29,0.8448275862068966,0.1896551724137931,PPO
0.862072207596841,30,0.8620689655172413,0.20689655172413793,PPO
0.8782813087626928,31,0.896551724137931,0.20689655172413793,PPO
0.8793907484016549,32,0.9137931034482759,0.22413793103448276,PPO
0.8849003384731103,33,0.9310344827586207,0.2413793103448276,PPO
0.8864234674689735,34,0.9482758620689655,0.25862068965517243,PPO
0.8967845054531781,35,0.9655172413793104,0.25862068965517243,PPO
0.8984956750658144,36,0.9827586206896551,0.27586206896551724,PPO
