,reward,steps,found
0,-188566.37524922416,17,False
1,195372.08689880872,12,True
2,192024.12766917425,12,True
3,191882.84378885807,10,True
4,195557.80406234448,15,True
5,193399.9526238964,11,True
6,192575.287011724,22,True
7,197878.8449181684,15,True
8,192043.30729763268,13,True
9,-194334.0762807053,12,False
10,197607.33620895364,19,True
11,194147.9844676579,16,True
12,194449.2100065492,11,True
13,201338.97036842583,15,True
14,187635.57792727515,29,True
15,194010.336729082,11,True
16,-193155.21731307663,14,False
17,191882.84378885807,10,True
18,197242.5763649183,14,True
19,194990.81730276105,11,True
20,193864.70538128025,11,True
21,-186822.7588635976,19,False
22,-195474.24852286425,12,False
23,193516.88662493005,11,True
24,193702.59799722352,12,True
25,200242.0857005925,17,True
26,193500.7354155412,12,True
27,194219.6319014892,13,True
28,196728.860462266,13,True
29,197187.4594144587,12,True
30,192334.68409167355,11,True
31,-183421.41206672043,45,False
32,192337.6529913418,10,True
33,199925.0489250636,13,True
34,193864.70538128025,11,True
35,191620.53397782845,11,True
36,193480.29059340036,16,True
37,-188748.1871746737,26,False
38,192337.6529913418,10,True
39,194364.53792778496,11,True
40,192919.1887169425,11,True
41,-192083.15659428728,15,False
42,193475.0835372596,11,True
43,201918.29879939157,16,True
44,192334.68409167355,11,True
45,196560.1122080717,13,True
46,194437.52047635292,14,True
47,191540.10400593784,12,True
48,194663.6639009244,14,True
49,194449.2100065492,11,True
50,192714.54173414217,11,True
51,195060.87334976823,18,True
52,193500.7354155412,12,True
53,194235.1211432824,11,True
54,193984.4572491653,11,True
55,194883.52788985896,13,True
56,195372.08689880872,12,True
57,191750.13578360176,11,True
58,194990.81730276105,11,True
59,192337.6529913418,10,True
60,193399.9526238964,11,True
61,-197694.96139690265,11,True
62,199575.50045477189,14,True
63,-93293.37690650272,34,False
64,194449.5108395267,11,True
65,194708.648627471,12,True
66,192337.6529913418,10,True
67,201788.6033766063,16,True
68,192337.6529913418,10,True
69,194449.2100065492,11,True
70,-182230.3475034271,27,False
71,195683.1839732109,17,True
72,191367.27653166,12,True
73,195985.6506066953,14,True
74,196388.93071390069,13,True
75,193566.52031123303,15,True
76,191298.3391635892,10,True
77,-194111.01223271395,15,True
78,195141.4409492572,12,True
79,194969.56263892868,13,True
80,194917.23401352225,12,True
81,-192301.6534200865,12,False
82,194010.336729082,11,True
83,200893.93159578848,15,True
84,194111.5440694003,11,True
85,197186.93547725733,12,True
86,195998.31289084387,12,True
87,196981.6624642714,13,True
88,195272.1994491772,14,True
89,-188404.23417626548,18,True
90,194490.98475625628,11,True
91,192464.3795144588,11,True
92,196299.1982805591,12,True
93,194449.2100065492,11,True
94,191468.31846669057,12,True
95,192334.68409167355,11,True
96,192337.6529913418,10,True
97,194969.55237020736,13,True
98,193383.96956943415,11,True
99,193529.64804668163,11,True
100,196223.80180764463,20,True
101,193383.96956943415,11,True
102,194969.56276832952,13,True
103,191753.14836607288,10,True
104,192691.82258880133,11,True
105,-188659.62161122292,22,False
106,195075.87799917453,11,True
107,194979.28237873045,13,True
108,192337.6529913418,10,True
109,195103.28216946012,16,True
110,195241.4732657724,11,True
111,195750.84518469905,16,True
112,193332.81776097664,13,True
113,192337.6529913418,10,True
114,204200.34055061504,16,True
115,190749.1500854024,15,True
116,192337.6529913418,10,True
117,-191239.37025139443,15,False
118,195998.31289084387,12,True
119,197813.16146929248,12,True
120,191471.3920969299,11,True
121,194708.648627471,12,True
122,191882.84378885807,10,True
123,-194664.7311232024,15,False
124,189773.54118915863,12,True
125,192337.6529913418,10,True
126,-181797.299784371,34,False
127,191964.54696795408,11,True
128,195509.51757727575,20,True
129,192337.6529913418,10,True
130,196339.65822921685,17,True
131,195253.80723366037,21,True
132,202662.11425083276,14,True
133,187853.2386318199,19,True
134,194969.56263892868,13,True
135,200079.14011573675,17,True
136,201009.13363572804,14,True
137,-191247.7846864625,15,False
138,193500.7354155412,12,True
139,193383.96956943415,11,True
140,194449.2100065492,11,True
141,194364.53792778496,11,True
142,192337.6529913418,10,True
143,199246.0671112038,18,True
144,195075.48938152523,11,True
145,193526.7636484618,11,True
146,194235.19521956105,11,True
147,197550.5123709706,13,True
148,191948.74084477316,13,True
149,194332.72938825327,12,True
150,198859.6832589616,13,True
151,194449.5108395267,11,True
152,-194843.5438958672,12,False
153,-196753.32571749372,13,False
154,194449.2100065492,11,True
155,-198380.5177041529,11,False
156,194949.04255305388,11,True
157,192706.59185288651,13,True
158,195576.8099428022,12,True
159,192919.1887169425,11,True
160,193864.70538128025,11,True
161,192717.48229584703,10,True
162,197678.45377248543,13,True
163,192337.6529913418,10,True
164,192419.5540576017,11,True
165,-188078.89646343968,46,False
166,195933.8862999816,13,True
167,192890.5352291878,11,True
