episode,actions,rewards
0,12,-300092.0
1,4,-99997.0
2,4,-199998.0
3,4,-199998.0
4,4,-199998.0
5,4,-299999.0
6,12,-300193.0
7,4,-99997.0
8,4,-199998.0
9,4,-199998.0
10,4,-199998.0
11,4,-199998.0
12,4,-99997.0
13,12,-200192.0
14,4,-299999.0
15,4,-99997.0
16,4,-300100.0
17,4,-199998.0
18,4,-100098.0
19,4,-199998.0
20,4,-99997.0
21,4,-200099.0
22,4,-199998.0
23,4,-199998.0
24,4,-100098.0
25,4,-199998.0
26,4,-299999.0
27,4,-200099.0
28,4,-199998.0
29,4,-199998.0
30,4,-299999.0
31,4,-200099.0
32,4,-100098.0
33,4,-200099.0
34,4,-199998.0
35,8,-200095.0
36,4,-299999.0
37,4,-99997.0
38,4,-200099.0
39,12,-199990.0
40,4,-200099.0
41,4,-200099.0
42,8,-100195.0
43,4,-299999.0
44,4,-99997.0
45,4,-299999.0
46,4,-99997.0
47,4,-100199.0
48,4,-299999.0
49,4,-299999.0
50,4,-300100.0
51,4,-299999.0
52,4,-99997.0
53,4,-200200.0
54,4,-200099.0
55,4,-299999.0
56,4,-200099.0
57,4,-200099.0
58,4,-200099.0
59,4,-299999.0
60,4,-199998.0
61,4,-99997.0
62,4,-200099.0
63,4,-199998.0
64,4,-199998.0
65,4,-199998.0
66,4,-199998.0
67,8,-99993.0
68,4,-299999.0
69,4,-100098.0
70,4,-100199.0
71,4,-100098.0
72,4,-299999.0
73,4,-300100.0
74,4,-100199.0
75,4,-100199.0
76,4,-100098.0
77,4,-299999.0
78,4,-299999.0
79,4,-199998.0
80,4,-199998.0
81,4,-300100.0
82,4,-299999.0
83,8,-200095.0
84,4,-99997.0
85,4,-200200.0
86,4,-99997.0
87,4,-99997.0
88,4,-400000.0
89,4,-200200.0
90,4,-199998.0
91,16,-100389.0
92,4,-100098.0
93,4,-199998.0
94,4,-200099.0
95,4,-300100.0
96,4,-100098.0
97,4,-99997.0
98,4,-200099.0
99,4,-199998.0
100,4,-99997.0
101,4,-100098.0
102,4,-199998.0
103,4,-400000.0
104,4,-200099.0
105,8,-99993.0
106,4,-400000.0
107,8,-100296.0
108,4,-400000.0
109,4,-100098.0
110,4,-199998.0
111,4,-99997.0
112,4,-400000.0
113,4,-299999.0
114,4,-199998.0
115,4,-99997.0
116,4,-99997.0
117,4,-99997.0
118,4,-99997.0
119,8,-99993.0
120,4,-299999.0
121,4,-100098.0
122,4,-199998.0
123,4,-100098.0
124,4,-200099.0
125,4,-100098.0
126,8,-199994.0
127,4,-299999.0
128,8,-100094.0
129,4,-100098.0
130,4,-100199.0
131,4,-99997.0
132,4,-200099.0
133,4,-100199.0
134,4,-100098.0
135,4,-100098.0
136,4,-200099.0
137,4,-200099.0
138,4,-100098.0
139,4,-199998.0
140,4,-100199.0
141,4,-199998.0
142,4,-200099.0
143,4,-100098.0
144,4,-299999.0
145,4,-199998.0
146,4,-199998.0
147,4,-200099.0
148,4,-299999.0
149,4,-200099.0
150,8,-299995.0
151,4,-200099.0
152,4,-299999.0
153,4,-400000.0
154,4,-99997.0
155,4,-100098.0
156,4,-100098.0
157,4,-200099.0
158,4,-100098.0
159,4,-199998.0
160,4,-299999.0
161,4,-99997.0
