reward,steps,found
-119904.3200687695,79,False
191711.00305890795,10,True
186733.0398053643,15,True
186078.64633146417,16,True
181872.92553599554,19,True
190139.2461272841,12,True
186413.2825422393,15,True
-35377.735289140706,32,True
-112730.68409128377,55,False
-121121.32890733742,93,False
188955.24348110612,13,True
192217.2885812009,9,True
165922.85825603965,31,True
186869.2961656001,15,True
180530.04579856366,20,True
182564.83843357879,18,True
183242.62273421235,18,True
183318.17574882504,18,True
183245.42296350747,18,True
190219.80661498444,12,True
187129.8755294546,15,True
190898.84627202584,11,True
190524.2088616649,12,True
142660.32138234968,48,True
-207901.04957355463,39,False
182873.46315500818,18,True
179272.34275249334,21,True
185747.38572850655,16,True
-110314.72712422472,48,False
181340.18962807875,19,True
192094.82357275274,9,True
190637.0702135557,11,True
181881.59370329397,19,True
189050.9045833547,13,True
181964.63842822675,18,True
-111987.1889857387,53,False
192172.04653783052,9,True
179054.68462248857,21,True
140620.6507823699,50,True
170205.68809496213,27,True
191089.87809978993,11,True
190688.46761968487,11,True
189673.48683791366,12,True
178660.84453419605,21,True
178142.07015002548,22,True
187082.41797339072,15,True
191459.19080771925,10,True
192007.57201469044,10,True
178462.16033782225,21,True
190606.17066836785,11,True
185856.75153718225,16,True
173764.3706359632,25,True
187095.03060781004,15,True
153085.8197912233,40,True
175634.03899101866,24,True
188474.27233962386,14,True
191579.2055214439,10,True
185321.52575388897,16,True
193031.0,8,True
191234.29624123964,10,True
190647.2987168874,11,True
180928.84176647008,20,True
191485.9100630699,10,True
173972.55645285852,25,True
182815.10952766225,18,True
190177.8790920838,12,True
170779.17459589482,27,True
190584.14358284467,11,True
191669.8176833214,10,True
187764.39948119468,14,True
183291.64370041454,17,True
178220.8943224084,22,True
179108.4802256145,21,True
181363.26817873647,19,True
-111633.7620090623,52,False
-204715.34449008835,32,False
187928.096226049,14,True
190954.49867582545,11,True
169195.51345773516,28,True
192440.75970765893,9,True
140323.29184773107,49,True
184203.76567977856,17,True
178256.4273525139,21,True
173364.90824898795,25,True
172121.9361612179,26,True
158235.70464311438,36,True
191294.55252305465,10,True
-99997,1,False
162832.58463208898,33,True
170584.4107880838,27,True
189583.24512597217,13,True
134195.7013759446,54,True
190968.45042687102,11,True
184533.21645088293,17,True
176091.40684940913,23,True
157973.77263410718,36,True
175181.51156399245,24,True
162174.40824709975,34,True
129324.32704367391,58,True
179617.34137317128,21,True
190700.82156805845,11,True
184612.54673178602,17,True
192258.91619852302,9,True
164100.55191261417,32,True
134154.25990041398,54,True
192098.09262577025,9,True
169793.54840066546,28,True
-123711.41426353302,86,False
165522.87600962268,31,True
172502.00377588908,26,True
187140.03588077475,15,True
163569.44614344602,32,True
190662.76330843632,11,True
178320.62889603167,22,True
191687.9100630699,10,True
175024.54645750983,24,True
180203.2843561345,20,True
165727.82746437195,31,True
170207.14024539452,28,True
184259.37067553354,17,True
167825.27750487567,29,True
187855.85322561825,14,True
177674.44464855528,22,True
192255.64714550547,9,True
-212891.27161778245,54,False
189781.88200610617,12,True
185598.75613195618,16,True
178561.60433987604,21,True
183122.2116019026,18,True
149218.7170931865,43,True
191133.29624123964,10,True
172660.16023317285,26,True
-109603.37216695533,47,False
189959.64451808768,12,True
153712.48242540527,40,True
177749.16854112464,22,True
131413.86965848005,56,True
189553.26057352003,13,True
187478.59571744115,14,True
188787.6092604385,13,True
171318.7294229275,27,True
172366.57220866493,26,True
179847.81680075452,21,True
188886.30160489073,13,True
162382.0192823473,33,True
188618.2234942804,14,True
187379.33835037108,14,True
168945.54820943688,28,True
185733.7531594918,16,True
153542.05303533273,40,True
183371.34275249334,18,True
188990.40354564978,13,True
188965.34918513693,13,True
184454.85726713424,17,True
162201.17440478844,34,True
186724.48297295632,15,True
189948.6097678831,12,True
185828.33525585514,16,True
183487.85119619346,18,True
185072.7615838194,17,True
190694.0864652879,11,True
179362.82120796968,20,True
170043.95228228823,28,True
186695.45898775084,15,True
185995.49743860212,16,True
183281.73020863152,18,True
190547.16113384947,11,True
184181.59115051685,17,True
167359.1896035811,29,True
190280.79452411082,12,True
191314.1128956736,10,True
165138.7419314279,32,True
176436.67248603413,23,True
187254.34653805883,14,True
190555.05983227032,11,True
-126563.35286018068,92,False
189823.99765426986,12,True
191608.41009169363,10,True
190414.87964158098,11,True
188854.5869541608,13,True
191541.70448004917,10,True
190908.95274020496,11,True
184095.34687497243,17,True
186703.32424996744,15,True
186119.328898533,16,True
180695.50032904738,20,True
-117522.47496586993,73,False
171222.37165218085,27,True
191332.22484031518,10,True
191116.5587460062,10,True
191494.94301667734,10,True
188525.6331998153,14,True
163201.32892675494,33,True
192195.82357275274,9,True
170658.44711673242,27,True
182097.70359747743,19,True
191733.31638709697,10,True
191104.9299928375,11,True
191566.15236040222,10,True
107750.41463604457,74,True
173556.66012746328,25,True
190569.51935320374,11,True
168583.1051952303,29,True
188987.70331888823,13,True
-113604.83244580826,55,False
185697.67872374915,16,True
134474.6150318447,54,True
162019.25492551125,34,True
175051.36710373597,24,True
162499.25919734422,33,True
-125736.30120477153,90,False
186747.15378620976,15,True
169351.73907819734,28,True
189037.48922334955,13,True
191667.15236040222,10,True
173683.74603800057,25,True
167601.18831754022,30,True
186328.42447742156,15,True
-110271.2697935329,49,False
174415.50886916445,24,True
189729.08236801586,12,True
161140.32001406924,34,True
-112952.890376339,57,False
188929.5351773384,13,True
-207560.9843672382,40,False
189381.32482287777,13,True
188665.67548209633,14,True
171279.33530326327,27,True
191568.8176833214,10,True
182107.9316002794,19,True
187254.82714541355,15,True
165124.44469505726,31,True
162985.3043794649,33,True
153155.9959951899,40,True
172302.12327656266,26,True
191428.42178348755,10,True
191329.176663751,10,True
182008.07375856055,19,True
153389.2824662922,39,True
171872.94710171432,26,True
-209010.47838694433,44,False
190162.65933570734,12,True
190627.87243615644,12,True
185913.73276028273,16,True
191234.29624123964,10,True
161182.7731452207,34,True
184956.19120003757,16,True
184318.41687023063,17,True
144692.85442829554,46,True
186666.65469979888,15,True
185542.05482688214,16,True
183407.79810799498,18,True
181118.7294229275,20,True
122058.66691547204,63,True
183653.41994230627,18,True
156342.76639208142,38,True
-399999.99999999994,102,False
174202.07338622003,24,True
183282.11058210468,17,True
190864.07281147595,11,True
190768.28427411887,11,True
188297.44192042554,13,True
191444.72468748334,10,True
130071.03467010942,57,True
191300.83252109203,10,True
190886.76738936853,11,True
184139.71284720584,17,True
-213041.90040254657,56,False
190524.2088616649,12,True
181202.52564609353,19,True
190693.0339278945,11,True
191333.97559963478,10,True
-109613.48824272279,47,False
192082.38198523875,9,True
185388.80661267048,16,True
178070.76895303698,22,True
157400.43063005764,37,True
188472.35996685934,14,True
168246.19354377128,29,True
125843.17460519416,60,True
190450.59266653558,12,True
185829.5451219166,16,True
190786.73423361953,11,True
179979.75996911895,21,True
181657.57034070548,19,True
192380.9361349062,9,True
191431.8503909071,10,True
184736.0177881646,17,True
111581.7449564299,72,True
-215475.46838714412,62,False
188839.63624082328,13,True
130441.50002140149,57,True
191398.3888670099,10,True
179567.97160708052,21,True
188037.16051585582,14,True
184824.4896758409,17,True
-119585.34001344636,92,False
151944.53831638207,41,True
180887.83185693435,20,True
191133.29624123964,10,True
154772.68938868918,39,True
192157.91619852302,9,True
186258.42368947467,15,True
179270.06508290448,20,True
174774.16038943134,24,True
191825.28343348953,10,True
170268.0199140631,28,True
-207266.2555701419,39,False
186323.34160313132,16,True
189460.3215526,12,True
187132.24740932792,15,True
173613.02674251478,25,True
-128449.78719277131,97,False
192356.64714550547,9,True
188997.36211790246,13,True
176115.2955624182,23,True
191493.0484130679,10,True
185838.8061530318,16,True
165563.98366590924,31,True
190733.7419536967,11,True
179362.69809545952,21,True
165747.090625777,31,True
-119407.0903825662,79,False
185756.1439472662,16,True
161649.63746204274,34,True
188751.56291515206,14,True
185923.89728865644,16,True
172676.88696697928,26,True
186720.0948901409,15,True
177985.97859983324,22,True
147076.36537749832,45,True
192094.82357275274,9,True
-314107.38269716036,60,False
184719.07474636426,17,True
175997.697933471,23,True
176752.88910566352,23,True
168368.8603281142,29,True
177447.95674826772,22,True
190195.35703284977,12,True
190578.41230387095,11,True
183247.92953624696,18,True
179754.89970005304,20,True
187910.63591445738,14,True
188944.4388009626,13,True
187268.6686229552,15,True
183947.1936949393,17,True
172134.73007735203,26,True
172392.15663248595,26,True
184282.8698194745,17,True
187895.50764243765,14,True
191747.7336358226,10,True
171895.2336105016,26,True
188032.61068862342,14,True
188038.81230455308,14,True
149480.63129326934,43,True
188330.82321151288,14,True
185456.26357213937,16,True
189031.04098788445,13,True
179155.25381478993,21,True
184633.1580236645,16,True
145044.45370832708,46,True
188634.91117527743,14,True
186637.48308338888,15,True
190958.71625533176,11,True
190655.32147520274,11,True
166078.5412036937,30,True
181175.50375891608,19,True
182027.9465280257,19,True
-213702.666565285,56,False
142770.89469598842,48,True
138957.37029765174,51,True
186515.7669724559,15,True
177321.83666295637,22,True
164088.5497605336,32,True
176299.92796442952,23,True
190155.13480016048,12,True
175196.34022887624,24,True
190367.34773727204,12,True
-198471.21062745838,13,False
162214.37292104706,34,True
181439.13805402274,19,True
189378.86012350017,13,True
175362.47064619808,24,True
179627.6043174702,21,True
185851.47382088425,16,True
187030.1969550371,15,True
176888.4886109761,22,True
174818.01583141985,24,True
187122.28226304383,15,True
183423.8358676094,17,True
164118.48586148806,32,True
190808.41993860377,11,True
-112551.99878218934,56,False
191496.11981399238,10,True
189433.81202267052,13,True
-400000.0,102,False
190364.71961620447,11,True
190546.04745400915,11,True
189945.5373331366,12,True
154388.8681500722,39,True
189252.39667153146,13,True
141442.25666458008,49,True
192279.9361349062,9,True
135522.7302064671,53,True
187012.68152080942,15,True
173354.93816718718,25,True
191680.2055214439,10,True
-210123.52119341487,48,False
168577.91385426532,29,True
-204763.72541731782,34,False
189162.16674946566,13,True
-119909.25615622815,79,False
177628.8274728675,22,True
191278.5012915384,11,True
190647.59744144249,12,True
182550.41178303212,18,True
180205.0803737111,20,True
-214153.69831899222,59,False
190665.94050406132,11,True
161983.73820619794,33,True
176562.53348935224,23,True
187663.23620113358,14,True
163887.0488974484,32,True
160913.86455109477,34,True
186912.00080139187,15,True
175604.38258017978,23,True
-207254.33061370303,40,False
185663.2154182659,16,True
188764.6555264283,13,True
189179.2616205479,13,True
183217.42965625817,18,True
188002.8792547002,14,True
191231.22484031518,10,True
182920.31858516275,18,True
137860.9055767668,51,True
-108515.76934468538,46,False
184869.28505048444,17,True
192545.02876067645,9,True
190375.1205368148,12,True
183528.85910617557,17,True
152299.23832114338,41,True
185377.99455168305,16,True
187650.93426646382,15,True
187428.88998033397,15,True
-113574.58217396996,58,False
170743.30404402173,27,True
177699.79145909197,22,True
190738.81723785572,11,True
185751.15378620976,16,True
-116022.0944232332,65,False
176065.16041749134,23,True
188178.1328315499,14,True
185835.64719768032,16,True
153322.09824578158,40,True
172259.60200378599,26,True
191666.48290512676,10,True
175515.83049357688,24,True
134323.22853069936,54,True
161432.95502256026,34,True
189089.5064037259,13,True
157768.17658907906,36,True
170540.50022918487,27,True
183042.88237189135,18,True
190214.83718544335,12,True
-211300.05384495415,50,False
144519.25974923,46,True
-111895.60074349758,53,False
190980.25257696447,11,True
169161.45999984222,29,True
176371.3477278614,23,True
176278.17459589482,23,True
189316.7363981652,13,True
190899.2960342894,11,True
162938.99497014348,33,True
185396.45630722353,16,True
191727.25316888225,10,True
180657.59834984023,20,True
190972.91897323352,11,True
189194.63889047058,13,True
187514.28483880797,15,True
183212.1544134899,18,True
184635.68714076284,17,True
189162.95907321517,13,True
176534.57790816698,23,True
190656.5089666788,11,True
189046.0391214295,14,True
182664.83627805585,18,True
191586.9100630699,10,True
189836.0791794519,12,True
173380.1605900306,25,True
187716.76540136922,15,True
154461.7156490533,39,True
172388.68629331593,26,True
-113928.2650937446,60,False
188185.5466632805,14,True
180042.49021526412,20,True
148259.90961743382,44,True
170722.41024588147,27,True
159029.78854355507,36,True
181246.8966284275,19,True
174253.78262646563,24,True
191407.99411056866,10,True
165416.54673178602,31,True
189183.27784637135,13,True
163163.37522814903,32,True
150443.6380667709,42,True
173820.85667667992,25,True
