Reinforce Rewards,Reinforce Steps,Reinforce Found,Greedy Rewards,Greedy Steps,Greedy Found
163165.7401765028,34,True,165283.0007204706,32,True
188977.39538824014,15,True,176834.47865231565,24,True
191759.04628257005,10,True,189833.51354863745,13,True
187515.9022552961,16,True,183484.09595474062,19,True
184821.44367808144,18,True,191693.8543452805,10,True
166236.93351130813,31,True,185775.01522512792,17,True
191055.1175735479,11,True,185967.95222774055,17,True
191309.36731096567,11,True,174084.01522512792,26,True
190416.52770091948,12,True,189838.38213418852,13,True
191403.4307934447,11,True,188273.68598527182,15,True
190366.29065321098,12,True,178587.01522512792,23,True
186866.45504823353,16,True,191157.86669573197,11,True
-205417.7647553508,42,False,189835.97218352935,13,True
191544.95514000213,10,True,188273.68598527182,15,True
142244.99226426054,48,True,189165.20743846011,14,True
190814.87824343008,12,True,188960.6787083751,14,True
191519.0357416329,10,True,179482.01522512792,22,True
181533.9056429223,20,True,191171.6721355597,11,True
187730.0441092859,15,True,157072.70239510105,39,True
190499.44845116753,13,True,189060.1273437529,14,True
181246.3975196086,20,True,167631.90354418228,31,True
187065.3081223267,16,True,176783.01522512792,24,True
183628.2376205275,18,True,187318.90354418228,16,True
190100.3937284918,13,True,173334.44793589407,26,True
168922.61240461495,29,True,191157.86669573197,11,True
181668.82293318535,20,True,190453.44377752487,12,True
190106.30392688047,12,True,185775.01522512792,17,True
-213525.2749864109,60,False,180509.27442851744,21,True
191619.825054187,10,True,191161.00014307088,11,True
190958.8224680698,12,True,191157.86669573197,11,True
-209131.9488040586,45,False,188273.68598527182,15,True
177220.66973096458,23,True,190265.73035934792,12,True
150563.93523932347,42,True,187175.01522512792,16,True
191626.2784194152,10,True,191157.86669573197,11,True
191374.12495636073,10,True,191157.86669573197,11,True
183784.1297284087,19,True,165641.44793589407,32,True
-207347.30820322514,39,False,188960.6787083751,14,True
178285.73472929074,22,True,188960.6787083751,14,True
191980.7516074633,10,True,191161.00014307088,11,True
186880.82264565502,16,True,189038.36587834827,14,True
189233.71168246123,14,True,182945.3328638654,19,True
190781.59363325237,12,True,188074.57377959578,15,True
190712.0741546568,12,True,191693.8543452805,10,True
179934.2740859504,21,True,190463.38336141998,12,True
190182.9518727412,13,True,185775.01522512792,17,True
184895.84704157655,17,True,188276.09595474062,15,True
187299.56075046083,15,True,170830.47865231565,28,True
-211464.2003153587,60,False,176634.1432685477,24,True
190141.02324372207,13,True,191170.03309667832,11,True
187214.69669538006,16,True,190268.41012771524,12,True
191401.38878231132,10,True,181676.01522512792,20,True
170413.82198712922,28,True,191170.03309667832,11,True
188150.59153330876,14,True,185956.98427339658,17,True
190979.68413385376,12,True,191161.00014307088,11,True
187233.38392238683,16,True,174643.3052380064,25,True
191937.70981003708,10,True,181676.01522512792,20,True
188864.47121988964,14,True,189835.97218352935,13,True
-198534.6782046379,12,False,187509.1992004551,15,True
187419.72675809247,16,True,180339.62365946185,21,True
186064.59685562865,17,True,178172.80915940652,23,True
191009.51916578398,11,True,189833.51354863745,13,True
191753.18265404008,10,True,193031.0,8,True
190503.13089470606,12,True,185775.01522512792,17,True
190834.0838423168,12,True,188273.68598527182,15,True
177117.28630698545,23,True,187871.0007204706,15,True
181762.61282525217,19,True,186875.0007204706,16,True
187280.46610679507,16,True,180509.27442851744,21,True
