,reward,steps,found
184,-207514.53389320493,42,False
185,190861.98897008252,12,True
186,180984.34212221848,20,True
187,190091.574759251,13,True
188,-218175.73948616427,66,False
189,190467.4813710936,13,True
190,187227.19853697988,16,True
191,183315.9022552961,19,True
192,184698.56207990472,18,True
193,189496.48899687896,14,True
194,192249.09114256792,9,True
195,171588.5743393106,27,True
196,191676.0747892638,10,True
197,191769.05289345872,10,True
198,191622.80721944864,10,True
199,190679.9593689858,12,True
200,190367.61216545463,12,True
201,190786.4149435117,11,True
202,189301.33654375607,14,True
203,162922.8744298187,34,True
204,190776.82371080876,12,True
205,191598.2227098173,10,True
206,190727.59202168856,12,True
207,188361.747407938,15,True
208,176245.9190656646,24,True
209,191544.95514000213,10,True
210,68403.31708522474,101,True
211,162100.22618701134,34,True
212,191967.273796608,10,True
213,181761.50444593196,20,True
214,190567.9627053905,12,True
215,189343.2497495881,14,True
216,190336.07680535124,13,True
217,191594.75150985076,10,True
218,190919.9954633685,12,True
219,185535.15259180707,17,True
220,161264.47763368252,34,True
221,184666.13819917265,17,True
222,191588.21609892865,10,True
223,-216901.9366470241,66,False
224,188536.4827398064,15,True
225,188848.21803658508,14,True
226,189857.64606097565,13,True
227,188398.98821764177,15,True
228,188902.39588404237,15,True
229,189439.9012027434,13,True
230,190005.5946624112,13,True
231,188006.72869848865,15,True
232,184670.3601428829,18,True
233,188888.14874033604,15,True
234,191447.4179755117,11,True
235,159525.7255501267,36,True
236,191584.7448989621,10,True
237,191413.91471532063,10,True
238,187571.94527578776,15,True
239,191384.1315672494,10,True
240,190752.4564348536,12,True
241,173378.40607541866,26,True
242,-214780.88008351013,62,False
243,191745.5684717148,10,True
244,188960.62137968696,14,True
245,187720.248970443,15,True
246,176166.8865217541,24,True
247,175558.8829072796,24,True
248,189051.66030049635,14,True
249,189205.42748221013,14,True
250,191541.48394003557,10,True
251,191012.45620135125,11,True
252,-109551.37542927991,78,False
253,190969.21507511145,11,True
254,191759.04628257005,10,True
255,190834.7494689856,12,True
256,189486.3075419843,14,True
257,192253.4362718757,9,True
