Reinforce Rewards,Reinforce Steps,Reinforce Found,Parallel Sweep Rewards,Parallel Sweep Steps,Parallel Sweep Found
186037.30395427282,32,True,-100000,202,False
187893.5269277732,27,True,-100000.0,202,False
184327.50335112066,37,True,-100000,202,False
190554.67316527982,20,True,-100000.0,202,False
180238.6024634973,48,True,-100000.0,202,False
186665.57631502673,30,True,156538.04398929497,85,True
187314.20270509383,29,True,-100000.0,202,False
183669.74537541586,34,True,-100000.0,202,False
169696.15508318882,78,True,-100000,202,False
180331.8973046522,44,True,-100000,202,False
189211.93571087002,25,True,-100000.0,202,False
176848.73546384918,56,True,-100000.0,202,False
188915.23607091844,25,True,-100000,202,False
-88491.0541104751,114,False,-100000,202,False
181927.07886304456,43,True,-100000.0,202,False
144582.55857258066,122,True,-100000.0,202,False
172233.2840940091,62,True,-100000,202,False
173411.0456958303,60,True,-100000.0,202,False
180000.24693310139,43,True,-100000.0,202,False
188951.30329979293,24,True,-100000.0,202,False
188694.8056135693,24,True,-100000,202,False
176830.67169246828,55,True,-100000,202,False
134419.28829433967,145,True,-100000,202,False
179862.61229948446,49,True,-100000,202,False
189303.8541646242,24,True,-100000,202,False
190513.50040645959,21,True,-100000,202,False
192196.64561155456,17,True,-100000,202,False
190004.7646459618,22,True,-100000,202,False
181498.3001659728,45,True,-100000,202,False
185715.37887477534,32,True,-100000,202,False
175547.6587340545,58,True,-100000,202,False
188701.9871476575,26,True,-100000.0,202,False
172553.57621375824,65,True,-100000.0,202,False
182566.80213635517,36,True,-100000.0,202,False
183857.1500027434,38,True,-100000.0,202,False
177171.1308918839,55,True,-100000,202,False
185705.1385458158,32,True,-100000.0,202,False
179375.937883654,45,True,-100000.0,202,False
188867.82129573135,25,True,-100000,202,False
171715.28732973518,69,True,-100000,202,False
186165.63496548645,32,True,-100000,202,False
172685.410746994,64,True,-100000.0,202,False
189194.0615409981,24,True,-100000,202,False
183283.62928594556,35,True,-100000,202,False
185538.72629989235,32,True,-100000.0,202,False
169496.6072993468,73,True,-100000.0,202,False
132355.23008886282,141,True,-100000.0,202,False
178234.5284713079,53,True,-100000,202,False
180297.56104304228,44,True,-100000.0,202,False
192515.0,16,True,-100000,202,False
185939.65638888784,31,True,-100000,202,False
188803.48927652952,24,True,-100000,202,False
186391.1118735485,32,True,-100000,202,False
174043.262061989,58,True,-100000,202,False
190352.67316527982,20,True,-100000,202,False
172264.9123996935,67,True,-100000,202,False
189396.05767853698,23,True,-100000.0,202,False
186679.69802542057,31,True,-100000,202,False
186694.82755996272,31,True,-100000.0,202,False
164052.48405697072,91,True,-100000,202,False
189021.65119368045,23,True,-100000,202,False
190086.20975282392,21,True,-100000,202,False
183804.17209425877,35,True,155801.22994660406,87,True
186319.56233446056,31,True,-100000.0,202,False
159329.00354713976,101,True,-100000.0,202,False
179567.6301099516,49,True,157259.87993953697,83,True
-93976.11348688457,110,False,-100000.0,202,False
172788.97252192712,63,True,-100000,202,False
182820.49931236,40,True,-100000,202,False
179905.13811645584,44,True,-100000.0,202,False
-100000.0,202,False,-100000,202,False
182472.7849378977,38,True,-100000,202,False
178261.04902735795,52,True,-100000,202,False
184208.1218982297,37,True,-100000.0,202,False
136927.76324729118,185,True,-100000,202,False
173085.90077566577,56,True,-100000,202,False
185708.52531162294,33,True,-100000,202,False
153041.62596264962,115,True,-100000,202,False
186288.13786939005,30,True,-100000,202,False
172728.69020296857,64,True,-100000,202,False
-100000.0,202,False,-100000.0,202,False
184422.975882979,36,True,-100000,202,False
190923.17678695093,20,True,-100000,202,False
146695.30633735767,134,True,-100000.0,202,False
178294.84224057378,53,True,-100000,202,False
183986.5068011235,36,True,156538.04398929497,85,True
185139.82138141742,34,True,-100000,202,False
179513.97719989682,49,True,-100000,202,False
188060.10896021238,26,True,-100000.0,202,False
191555.01269530694,18,True,-100000,202,False
178920.1921573606,51,True,-100000.0,202,False
186912.059533222,30,True,-100000,202,False
175794.17545984403,57,True,-100000,202,False
188572.98339297442,26,True,-100000,202,False
186716.45249964777,31,True,-100000.0,202,False
179027.8506576998,52,True,-100000,202,False
177295.97714864655,56,True,139513.56108660123,113,True
189967.54783646815,22,True,-100000.0,202,False
-100000.0,202,False,-100000.0,202,False
186999.06836852236,30,True,-100000.0,202,False
189816.52343448243,22,True,-100000,202,False
190432.53781841722,20,True,-100000.0,202,False
183842.5097066891,37,True,-100000.0,202,False
186691.7252351812,28,True,-100000,202,False
172982.046432952,66,True,-100000.0,202,False
179676.9416767498,47,True,-100000.0,202,False
185295.48595275808,35,True,-100000.0,202,False
187725.18273667034,26,True,-100000,202,False
182822.7506321427,36,True,-100000,202,False
157721.86688635472,109,True,148850.55460646696,97,True
189821.80800299306,22,True,-100000.0,202,False
160269.99231621285,98,True,-100000.0,202,False
183968.41201284213,38,True,-100000,202,False
172557.11028113108,65,True,-100000.0,202,False
172471.9382068838,67,True,-100000.0,202,False
189692.31015857394,24,True,-100000,202,False
139249.42505005433,156,True,-100000,202,False
189694.48745941123,22,True,-100000.0,202,False
187021.74865289856,29,True,-100000,202,False
190794.68586058676,20,True,-100000,202,False
180669.32833967876,44,True,-100000,202,False
185704.27944188047,29,True,-100000,202,False
142017.63499616584,134,True,-100000,202,False
189693.83726783146,23,True,-100000.0,202,False
187955.58160432187,25,True,-100000,202,False
190816.0,19,True,-100000,202,False
185212.1249197232,34,True,-100000,202,False
168467.08963431147,71,True,-100000.0,202,False
180894.83523520385,44,True,-100000,202,False
189954.67316527982,21,True,-100000,202,False
186887.27660308787,29,True,-100000.0,202,False
131991.53960512497,168,True,-100000.0,202,False
173034.336661964,66,True,-100000,202,False
186984.6076416045,26,True,-100000.0,202,False
187042.52802956497,28,True,-100000,202,False
185697.9046174186,34,True,-100000,202,False
173658.17891449505,65,True,-100000,202,False
167016.30156070561,82,True,-100000,202,False
150383.24883930123,123,True,-100000,202,False
186671.85052782917,31,True,-100000,202,False
183818.93537703346,36,True,-100000.0,202,False
190408.29819287505,21,True,-100000,202,False
178255.9428518554,48,True,-100000,202,False
191517.0,18,True,-100000,202,False
188994.11037339582,25,True,-100000,202,False
187872.9089033287,26,True,-100000.0,202,False
177295.1070881679,51,True,-100000.0,202,False
161427.79252666328,94,True,-100000.0,202,False
187171.03928766874,31,True,-100000,202,False
181223.45776270618,38,True,-100000,202,False
182009.3217846792,41,True,-100000.0,202,False
187023.52102925171,30,True,-100000,202,False
188838.17193461955,24,True,-100000,202,False
189658.80584347987,23,True,-100000,202,False
175094.94244776128,60,True,-100000,202,False
189797.59787778946,22,True,-100000,202,False
157057.22669486576,105,True,-100000,202,False
186583.52790932337,32,True,-100000,202,False
186756.65589016708,31,True,-100000.0,202,False
187963.05232406364,26,True,-100000,202,False
-90553.28834074551,148,False,160125.14927692758,76,True
175452.17319575045,59,True,-100000,202,False
183774.59440785597,39,True,-100000,202,False
176832.3182470493,51,True,-100000,202,False
174093.42126945066,62,True,-100000,202,False
186465.17950483056,30,True,-100000,202,False
183214.645489686,39,True,-100000,202,False
189016.0,22,True,-100000,202,False
185349.43411015518,34,True,-100000.0,202,False
174383.12028633445,61,True,-100000,202,False
174375.02497238413,66,True,-100000,202,False
186015.08926141448,32,True,160950.95110902374,74,True
188102.6074424188,26,True,-100000,202,False
