episode,actions,rewards
0,4,-100199.0
1,4,-99997.0
2,4,-300100.0
3,4,-400000.0
4,4,-199998.0
5,4,-400000.0
6,4,-200099.0
7,4,-99997.0
8,8,-100195.0
9,4,-400000.0
10,4,-199998.0
11,4,-299999.0
12,4,-400000.0
13,12,-200293.0
14,4,-299999.0
15,8,-100094.0
16,4,-199998.0
17,4,-199998.0
18,4,-99997.0
19,4,-199998.0
20,4,-199998.0
21,4,-99997.0
22,4,-299999.0
23,4,-199998.0
24,4,-200099.0
25,4,-200099.0
26,4,-400000.0
27,4,-299999.0
28,4,-199998.0
29,4,-100098.0
30,4,-199998.0
31,4,-299999.0
32,4,-99997.0
33,4,-199998.0
34,4,-100098.0
35,4,-299999.0
36,4,-99997.0
37,4,-100098.0
38,4,-99997.0
39,4,-99997.0
40,4,-300100.0
41,4,-199998.0
42,4,-199998.0
43,4,-199998.0
44,4,-199998.0
45,4,-199998.0
46,8,-100094.0
47,4,-299999.0
48,4,-100098.0
49,16,-100389.0
50,4,-400000.0
51,4,-99997.0
52,4,-299999.0
53,4,-299999.0
54,4,-299999.0
55,4,-299999.0
56,4,-299999.0
57,4,-299999.0
58,4,-299999.0
59,4,-299999.0
60,4,-299999.0
61,4,-400000.0
62,4,-200099.0
63,4,-400000.0
64,4,-99997.0
65,4,-299999.0
66,4,-99997.0
67,12,-300395.0
68,4,-99997.0
69,4,-99997.0
70,4,-199998.0
71,4,-200099.0
72,4,-199998.0
73,4,-200099.0
74,4,-199998.0
75,4,-299999.0
76,8,-199994.0
77,4,-199998.0
78,4,-199998.0
79,4,-199998.0
80,4,-299999.0
81,4,-199998.0
82,4,-100098.0
83,4,-299999.0
84,4,-199998.0
85,4,-400000.0
86,4,-199998.0
87,4,-100098.0
88,4,-199998.0
89,4,-200099.0
90,8,-200095.0
91,4,-100098.0
92,4,-200099.0
93,4,-400000.0
94,4,-199998.0
95,4,-199998.0
96,4,-199998.0
97,4,-200200.0
98,4,-99997.0
99,4,-299999.0
100,4,-199998.0
101,4,-300100.0
102,4,-99997.0
103,4,-199998.0
104,4,-99997.0
105,4,-100098.0
106,4,-99997.0
107,4,-199998.0
108,4,-199998.0
109,4,-299999.0
110,4,-200099.0
111,4,-199998.0
112,4,-299999.0
113,4,-199998.0
114,4,-300100.0
115,4,-100098.0
116,4,-99997.0
117,4,-99997.0
118,4,-100098.0
119,4,-199998.0
120,4,-300100.0
121,4,-199998.0
122,8,-100094.0
123,4,-100098.0
124,4,-299999.0
125,4,-299999.0
126,4,-199998.0
127,4,-100098.0
128,4,-299999.0
129,4,-200099.0
130,4,-99997.0
131,4,-199998.0
132,4,-99997.0
133,4,-200099.0
134,4,-299999.0
135,4,-100098.0
136,4,-199998.0
137,4,-300100.0
138,4,-199998.0
139,4,-99997.0
140,4,-99997.0
141,4,-199998.0
142,4,-99997.0
143,4,-100098.0
144,4,-199998.0
145,4,-299999.0
146,4,-200099.0
147,4,-99997.0
148,4,-299999.0
149,4,-99997.0
150,4,-100199.0
151,4,-100199.0
152,12,-200495.0
153,4,-199998.0
154,4,-99997.0
155,4,-100098.0
156,8,-399996.0
157,4,-299999.0
158,4,-299999.0
159,4,-100199.0
160,4,-400000.0
161,4,-99997.0
162,4,-100098.0
163,4,-99997.0
164,4,-200099.0
165,4,-99997.0
166,4,-99997.0
167,4,-100098.0
168,4,-99997.0
169,4,-199998.0
170,4,-100098.0
171,4,-199998.0
172,4,-99997.0
173,8,-99993.0
174,4,-299999.0
175,4,-99997.0
176,4,-199998.0
177,4,-100098.0
178,4,-299999.0
179,8,-99993.0
180,4,-200099.0
181,4,-100098.0
182,4,-400000.0
183,8,-100094.0
184,4,-299999.0
185,4,-200099.0
186,4,-199998.0
187,4,-99997.0
188,4,-200099.0
189,4,-400000.0
190,4,-299999.0
191,4,-200099.0
192,4,-99997.0
193,4,-199998.0
194,8,-100195.0
195,8,-199994.0
196,4,-99997.0
197,4,-100098.0
198,4,-199998.0
199,4,-299999.0
200,4,-99997.0
201,4,-99997.0
202,4,-99997.0
203,4,-199998.0
204,8,-300096.0
205,4,-99997.0
206,4,-299999.0
207,16,-200188.0
208,4,-99997.0
209,4,-300100.0
210,4,-199998.0
211,4,-199998.0
212,4,-200099.0
213,4,-300100.0
214,4,-199998.0
215,4,-100098.0
216,12,-200192.0
217,4,-100098.0
218,4,-100098.0
219,4,-199998.0
220,4,-99997.0
221,4,-299999.0
222,4,-100098.0
223,4,-299999.0
224,4,-299999.0
225,4,-99997.0
226,4,-199998.0
227,4,-199998.0
228,4,-199998.0
229,4,-299999.0
230,4,-99997.0
231,4,-300100.0
232,4,-199998.0
233,4,-99997.0
234,4,-299999.0
235,4,-99997.0
236,4,-199998.0
237,12,-200293.0
238,4,-99997.0
239,4,-299999.0
240,4,-199998.0
241,4,-99997.0
242,4,-99997.0
243,4,-199998.0
244,8,-100195.0
245,4,-199998.0
246,4,-299999.0
247,4,-99997.0
248,8,-100195.0
249,4,-199998.0
250,4,-199998.0
251,16,-99985.0
252,8,-200095.0
253,4,-99997.0
254,4,-200099.0
255,4,-100098.0
256,4,-199998.0
257,4,-99997.0
258,4,-100199.0
259,4,-99997.0
260,4,-299999.0
261,4,-100098.0
262,4,-400000.0
263,4,-100098.0
264,4,-300100.0
265,4,-99997.0
266,4,-400000.0
267,4,-199998.0
268,4,-100098.0
269,4,-100098.0
270,4,-200099.0
271,4,-100098.0
272,4,-99997.0
273,8,-200398.0
274,4,-200099.0
275,4,-200099.0
276,4,-100098.0
277,4,-199998.0
278,4,-100098.0
279,4,-199998.0
280,4,-299999.0
281,4,-99997.0
282,4,-100098.0
283,4,-100098.0
284,4,-199998.0
285,4,-299999.0
286,4,-400000.0
287,4,-99997.0
288,4,-99997.0
289,8,-200196.0
290,4,-299999.0
291,4,-299999.0
292,4,-199998.0
293,4,-100098.0
294,4,-299999.0
295,4,-99997.0
296,4,-100098.0
297,4,-199998.0
298,4,-99997.0
299,4,-199998.0
300,4,-100098.0
301,8,-100094.0
302,4,-199998.0
303,4,-99997.0
304,4,-200099.0
305,4,-200099.0
306,4,-199998.0
307,4,-199998.0
308,4,-200099.0
309,4,-200099.0
310,8,-200196.0
311,12,-199990.0
312,8,-100296.0
313,4,-199998.0
314,4,-299999.0
315,4,-299999.0
316,8,-300096.0
317,4,-299999.0
318,8,-200095.0
319,12,-200192.0
320,4,-100199.0
321,4,-99997.0
322,4,-199998.0
323,4,-199998.0
324,4,-199998.0
325,4,-199998.0
326,4,-199998.0
327,4,-299999.0
328,8,-300298.0
329,4,-100098.0
330,4,-99997.0
331,4,-299999.0
332,8,-100195.0
333,4,-199998.0
334,4,-199998.0
335,4,-99997.0
336,4,-299999.0
337,4,-99997.0
338,12,-99989.0
339,4,-100098.0
340,4,-299999.0
341,4,-199998.0
342,4,-100098.0
343,4,-99997.0
344,4,-400000.0
345,4,-100098.0
346,4,-99997.0
347,4,-100098.0
348,4,-99997.0
349,8,-100195.0
350,4,-199998.0
351,4,-199998.0
352,4,-199998.0
353,4,-299999.0
354,12,-100292.0
355,4,-100098.0
356,4,-200099.0
357,4,-200099.0
358,4,-400000.0
359,4,-99997.0
360,4,-99997.0
361,8,-100397.0
362,4,-199998.0
363,20,-200386.0
364,4,-199998.0
365,4,-99997.0
366,4,-199998.0
367,4,-99997.0
368,4,-99997.0
369,4,-199998.0
370,4,-199998.0
371,4,-300100.0
372,4,-199998.0
373,4,-199998.0
374,4,-199998.0
375,4,-199998.0
376,4,-400000.0
377,12,-99989.0
378,8,-200095.0
379,8,-299995.0
380,4,-99997.0
381,4,-99997.0
382,16,-100288.0
383,4,-100098.0
384,4,-99997.0
385,4,-299999.0
386,4,-199998.0
387,4,-99997.0
388,4,-199998.0
389,8,-100094.0
390,4,-99997.0
391,4,-99997.0
392,8,-100094.0
393,4,-199998.0
394,4,-299999.0
395,4,-199998.0
396,16,-100086.0
397,4,-200200.0
398,4,-299999.0
399,4,-199998.0
400,4,-99997.0
401,4,-99997.0
402,4,-199998.0
403,12,-100191.0
404,4,-199998.0
405,4,-199998.0
406,4,-99997.0
407,4,-400000.0
408,4,-99997.0
409,4,-200099.0
410,4,-99997.0
411,4,-299999.0
412,4,-100098.0
413,4,-299999.0
414,4,-299999.0
415,24,-200483.0
416,4,-99997.0
417,4,-400000.0
418,4,-199998.0
419,8,-99993.0
420,4,-199998.0
421,12,-100090.0
422,8,-100094.0
423,8,-100195.0
424,4,-100199.0
425,4,-199998.0
426,4,-99997.0
427,4,-199998.0
428,4,-199998.0
429,4,-100199.0
430,4,-400000.0
431,4,-99997.0
432,4,-199998.0
433,24,-100482.0
434,4,-199998.0
435,4,-199998.0
436,4,-200200.0
437,4,-99997.0
438,4,-199998.0
439,8,-100094.0
440,4,-200099.0
441,4,-200099.0
442,52,-200758.0
443,8,-200196.0
444,4,-299999.0
445,4,-100199.0
446,4,-99997.0
447,8,-99993.0
448,4,-99997.0
449,8,-100195.0
450,4,-99997.0
451,4,-99997.0
452,4,-99997.0
453,4,-199998.0
454,4,-199998.0
455,4,-99997.0
456,4,-100098.0
457,4,-100098.0
458,4,-199998.0
459,4,-199998.0
460,4,-99997.0
461,4,-100098.0
462,4,-99997.0
463,4,-100098.0
464,4,-200099.0
465,4,-99997.0
466,12,-99989.0
467,4,-200099.0
468,12,-100090.0
469,4,-100098.0
470,4,-299999.0
471,4,-199998.0
472,4,-199998.0
473,4,-99997.0
474,4,-299999.0
475,12,-300193.0
476,4,-200099.0
477,4,-199998.0
478,4,-200200.0
479,16,-200087.0
480,4,-199998.0
481,4,-99997.0
482,4,-299999.0
483,4,-100098.0
484,4,-99997.0
485,4,-199998.0
486,4,-200099.0
487,4,-299999.0
488,4,-199998.0
489,4,-100098.0
490,4,-100098.0
491,4,-299999.0
492,4,-99997.0
493,4,-200099.0
494,4,-99997.0
495,4,-199998.0
496,4,-99997.0
497,4,-100098.0
498,4,-199998.0
499,4,-199998.0
500,12,-200091.0
501,4,-100098.0
502,8,-100094.0
503,12,-200091.0
504,4,-199998.0
505,4,-199998.0
506,44,-100866.0
507,20,-100587.0
508,16,-200087.0
509,8,-100094.0
510,4,-400000.0
511,4,-300100.0
512,4,-100098.0
513,4,-99997.0
514,4,-299999.0
515,4,-100098.0
516,4,-199998.0
517,4,-100098.0
518,4,-299999.0
519,4,-199998.0
520,4,-199998.0
521,4,-100098.0
522,104,-102119.0
523,16,-100187.0
524,4,-300100.0
525,8,-199994.0
526,4,-300100.0
527,8,-300096.0
528,8,-100195.0
529,4,-199998.0
530,4,-99997.0
531,4,-199998.0
532,8,-100195.0
533,4,-400000.0
534,4,-200099.0
535,32,-300173.0
536,4,-299999.0
537,8,-200196.0
538,12,-200192.0
539,4,-199998.0
540,4,-199998.0
541,4,-199998.0
542,8,-200297.0
543,4,-99997.0
544,4,-200099.0
545,4,-199998.0
546,4,-99997.0
547,4,-200099.0
548,4,-99997.0
549,4,-100098.0
550,4,-200200.0
551,4,-99997.0
552,4,-100098.0
553,4,-299999.0
554,8,-100397.0
555,4,-100098.0
556,8,-199994.0
557,4,-199998.0
558,4,-100098.0
559,4,-100098.0
560,8,-99993.0
561,60,-200843.41617771887
562,8,-100195.0
563,4,-199998.0
564,4,-100098.0
565,4,-200099.0
566,4,-200099.0
567,4,-100199.0
568,4,-299999.0
569,4,-100199.0
570,4,-99997.0
571,144,-102281.0
572,4,-100098.0
573,8,-100094.0
574,44,-200564.0
575,4,-199998.0
576,4,-99997.0
577,8,-200095.0
578,4,-99997.0
579,4,-299999.0
580,4,-99997.0
581,8,-200095.0
582,4,-199998.0
583,4,-100098.0
584,4,-99997.0
585,8,-100296.0
586,4,-199998.0
587,24,-200079.0
588,8,-200095.0
589,4,-99997.0
590,16,-100490.0
591,4,-199998.0
592,8,-100094.0
593,4,-199998.0
594,4,-199998.0
595,4,-99997.0
596,28,-200580.0
597,4,-100098.0
598,4,-199998.0
599,4,-99997.0
600,4,-299999.0
601,8,-199994.0
602,12,-99989.0
603,4,-99997.0
604,4,-99997.0
605,4,-99997.0
606,32,-200071.0
607,4,-200099.0
608,4,-199998.0
609,8,-99993.0
610,8,-300096.0
611,12,-100090.0
612,4,-200099.0
613,4,-200099.0
614,4,-199998.0
615,4,-299999.0
616,4,-199998.0
617,4,-400000.0
618,4,-299999.0
619,4,-199998.0
620,12,-200293.0
621,116,-102006.0
622,4,-299999.0
623,4,-99997.0
624,4,-100098.0
625,4,-99997.0
626,4,-99997.0
627,4,-199998.0
628,4,-200099.0
629,4,-100098.0
630,4,-199998.0
631,4,-300100.0
632,4,-199998.0
633,16,-300189.0
634,4,-200099.0
635,4,-300100.0
636,16,-200390.0
637,32,-200576.0
638,4,-99997.0
639,64,-201352.0
640,4,-200200.0
641,4,-299999.0
642,4,-99997.0
643,12,-199990.0
644,4,-100300.0
645,4,-299999.0
646,4,-199998.0
647,12,-200293.0
648,16,-100389.0
649,4,-199998.0
650,8,-100195.0
651,8,-199994.0
652,4,-100098.0
653,4,-100098.0
654,4,-99997.0
655,4,-299999.0
656,4,-99997.0
657,4,-100098.0
658,4,-100098.0
659,4,-199998.0
660,4,-199998.0
661,4,-100098.0
662,4,-99997.0
663,8,-200095.0
664,4,-100199.0
665,4,-199998.0
666,4,-100098.0
667,68,-200742.0
668,8,-200095.0
669,8,-199994.0
670,4,-99997.0
671,4,-299999.0
672,4,-100098.0
673,4,-99997.0
674,4,-199998.0
675,4,-200099.0
676,4,-99997.0
677,4,-99997.0
678,4,-199998.0
679,8,-200196.0
680,8,-200196.0
681,12,-100292.0
682,4,-199998.0
683,4,-199998.0
684,4,-299999.0
685,12,-100191.0
686,8,-100094.0
687,108,-103024.0
688,4,-99997.0
689,4,-199998.0
690,4,-199998.0
691,36,-200370.0
692,4,-199998.0
693,8,-99993.0
694,8,-200095.0
695,28,-200580.0
696,4,-200099.0
697,4,-400000.0
698,4,-199998.0
699,4,-299999.0
700,4,-99997.0
701,4,-199998.0
702,4,-99997.0
703,4,-199998.0
704,4,-99997.0
705,4,-100098.0
706,4,-199998.0
707,12,-100494.0
708,52,-100959.0
709,4,-199998.0
710,8,-200297.0
711,4,-200099.0
712,8,-200196.0
713,4,-100098.0
714,4,-199998.0
715,4,-99997.0
716,16,-100490.0
717,36,-200471.0
718,16,-100490.0
719,8,-200095.0
720,4,-200099.0
721,80,-101840.0
722,12,-100292.0
723,4,-400000.0
724,8,-199994.0
725,4,-100098.0
726,8,-300096.0
727,4,-99997.0
728,4,-200200.0
729,4,-100098.0
730,20,-200386.0
731,8,-200095.0
732,12,-200192.0
733,4,-99997.0
734,4,-199998.0
735,32,-100676.0
736,28,-200479.0
737,8,-99993.0
738,8,-99993.0
739,4,-199998.0
740,4,-200099.0
741,4,-100199.0
742,8,-200095.0
743,4,-200200.0
744,4,-199998.0
745,12,-199990.0
746,12,-200293.0
747,4,-199998.0
748,4,-199998.0
749,8,-200095.0
750,24,-100381.0
751,4,-99997.0
752,4,-199998.0
753,4,-99997.0
754,4,-99997.0
755,12,-100191.0
756,4,-199998.0
757,12,-100191.0
758,4,-99997.0
759,4,-100199.0
760,4,-200099.0
761,12,-200091.0
762,4,-200099.0
763,4,-99997.0
764,36,-200471.0
765,8,-200196.0
766,8,-200297.0
767,4,-299999.0
768,4,-299999.0
769,4,-99997.0
770,8,-100195.0
771,4,-299999.0
772,4,-199998.0
773,16,-100288.0
774,4,-99997.0
775,4,-400000.0
776,4,-100098.0
777,12,-200091.0
778,4,-99997.0
779,4,-100098.0
780,4,-199998.0
781,4,-99997.0
782,8,-200398.0
783,4,-100098.0
784,4,-199998.0
785,4,-99997.0
786,4,-200099.0
787,4,-199998.0
788,4,-99997.0
789,4,-199998.0
790,4,-200099.0
791,8,-200095.0
792,8,-100094.0
793,4,-199998.0
794,4,-199998.0
795,4,-99997.0
796,12,-200091.0
797,4,-199998.0
798,4,-299999.0
799,4,-100098.0
800,8,-100094.0
801,32,-101080.0
802,8,-200095.0
803,4,-199998.0
804,4,-99997.0
805,12,-100393.0
806,4,-199998.0
807,4,-100098.0
808,16,-200087.0
809,4,-99997.0
810,20,-200285.0
811,4,-100098.0
812,4,-99997.0
813,4,-199998.0
814,4,-100098.0
815,4,-299999.0
816,28,-200378.0
817,4,-100098.0
818,8,-200095.0
819,4,-400000.0
820,4,-99997.0
821,4,-199998.0
822,8,-100195.0
823,4,-199998.0
824,4,-99997.0
825,8,-200196.0
826,4,-400000.0
827,8,-299995.0
828,4,-199998.0
829,4,-99997.0
830,4,-99997.0
831,4,-199998.0
832,8,-200196.0
833,4,-200099.0
834,4,-199998.0
835,4,-199998.0
836,76,-101844.0
837,16,-100187.0
838,4,-199998.0
839,4,-199998.0
840,8,-200095.0
841,4,-99997.0
842,8,-99993.0
