episode,actions,rewards
0,1,-100000.0
1,7,-99565.25366142171
2,2,-99999.0
3,6,-100096.0
4,6,-100197.0
5,11,-99673.43598971276
6,1,-100000.0
7,1,-100000.0
8,2,-99999.0
9,2,-99999.0
10,2,-99999.0
11,1,-100000.0
12,1,-100000.0
13,1,-100000.0
14,4,-100098.0
15,1,-100000.0
16,5,-100198.0
17,2,-100100.0
18,2,-100100.0
19,8,-100094.0
20,2,-100100.0
21,1,-100000.0
22,3,-100099.0
23,5,-100198.0
24,6,-100298.0
25,3,-99998.0
26,4,-99997.0
27,1,-100000.0
28,5,-99996.0
29,3,-100099.0
30,7,197006.0
31,3,-99998.0
32,3,-99998.0
33,4,-99997.0
34,3,-100099.0
35,6,198220.8692978354
36,2,-100100.0
37,9,-99276.13070216462
38,6,-99027.02697949036
39,16,-98769.9378940045
40,3,-100099.0
41,7,-100095.0
42,1,-100000.0
43,19,-98344.9856943893
44,2,-99999.0
45,4,-99997.0
46,2,-100100.0
47,2,-100100.0
48,5,-100097.0
49,9,-98740.4424732735
50,11,-98068.72292370861
51,7,-100196.0
52,1,-100000.0
53,2,-100100.0
54,1,-100000.0
55,2,-100100.0
56,4,-100098.0
57,2,-100100.0
58,20,-98390.07962968922
59,5,-100198.0
60,1,-100000.0
61,1,-100000.0
62,2,-100100.0
63,3,-99998.0
64,5,-100198.0
65,1,-100000.0
66,1,-100000.0
67,3,-100099.0
68,1,-100000.0
69,6,-99303.68858603323
70,1,-100000.0
71,2,-100100.0
72,2,-99999.0
73,1,-100000.0
74,1,-100000.0
75,1,-100000.0
76,11,-99367.66420633884
77,2,-100100.0
78,2,-99999.0
79,1,-100000.0
80,3,-99998.0
81,15,-98568.74228229624
82,1,-100000.0
83,1,-100000.0
84,3,-100200.0
85,1,-100000.0
86,1,-100000.0
87,3,-99998.0
88,2,-100100.0
89,3,-100099.0
90,5,-100198.0
91,22,-99569.20050034742
92,2,-100100.0
93,1,-100000.0
94,3,-99998.0
95,5,-100198.0
96,1,-100000.0
97,3,-100200.0
98,2,-99999.0
99,5,-99996.0
100,1,-100000.0
101,4,-99997.0
102,1,-100000.0
103,2,-99999.0
104,3,-100200.0
105,2,-99999.0
106,2,-99999.0
107,18,-98838.391808313
108,1,-100000.0
109,7,-100095.0
110,2,-100100.0
111,3,-99998.0
112,3,-100099.0
113,1,-100000.0
114,1,-100000.0
115,3,-99998.0
116,3,-100200.0
117,1,-100000.0
118,3,-100200.0
119,1,-100000.0
120,3,-100099.0
121,8,-99277.13070216462
122,14,-99713.84244969579
123,1,-100000.0
