Reinforce Rewards,Reinforce Steps,Reinforce Found,Greedy Rewards,Greedy Steps,Greedy Found
-188566.37524922416,17,False,192837.93872054806,12,True
195372.08689880872,12,True,192837.93872054806,12,True
192024.12766917425,12,True,191279.05980397871,11,True
191882.84378885812,10,True,190877.6873769576,13,True
195557.80406234448,15,True,191279.05980397871,11,True
193399.95262389636,11,True,193464.1647125832,12,True
192575.28701172397,22,True,193491.50800403542,14,True
197878.8449181684,15,True,192270.72898745863,13,True
192043.30729763268,13,True,205504.42657422012,18,True
-194334.07628070534,12,False,192837.93872054806,12,True
197607.33620895364,19,True,191617.4848826697,12,True
194147.9844676579,16,True,191279.05980397871,11,True
194449.21000654917,11,True,191279.05980397871,11,True
201338.97036842583,15,True,192837.93872054806,12,True
187635.57792727515,29,True,191279.05980397871,11,True
194010.33672908202,11,True,192837.93872054806,12,True
-193155.21731307666,14,False,191279.05980397871,11,True
191882.84378885812,10,True,191279.05980397871,11,True
197242.5763649183,14,True,192837.93872054806,12,True
194990.81730276102,11,True,193464.1647125832,12,True
193864.70538128022,11,True,192837.93872054806,12,True
-186822.75886359756,19,False,192837.93872054806,12,True
-195474.24852286422,12,False,191279.05980397871,11,True
193516.88662493005,11,True,191279.05980397871,11,True
193702.59799722352,12,True,191279.05980397871,11,True
200242.08570059252,17,True,194725.17991755108,13,True
193500.73541554116,12,True,191905.28800039765,11,True
194219.63190148916,13,True,191905.28800039765,11,True
196728.86046226602,13,True,191306.40914998009,13,True
197187.4594144587,12,True,192837.93872054806,12,True
192334.68409167355,11,True,194981.31022377734,13,True
-183421.41206672043,45,False,191279.05980397871,11,True
192337.6529913418,10,True,195607.53613186744,13,True
199925.04892506357,13,True,191905.28800039765,11,True
193864.70538128022,11,True,191279.05980397871,11,True
191620.53397782843,11,True,192837.93872054806,12,True
193480.29059340034,16,True,191279.05980397871,11,True
-188748.18717467372,26,False,191279.05980397871,11,True
192337.6529913418,10,True,191279.05980397871,11,True
194364.53792778496,11,True,191279.05980397871,11,True
192919.1887169425,11,True,191279.05980397871,11,True
-192083.15659428728,15,False,191279.05980397871,11,True
193475.0835372596,11,True,191279.05980397871,11,True
201918.29879939154,16,True,193514.67022649976,13,True
192334.68409167355,11,True,194725.18228796948,13,True
196560.11220807172,13,True,198099.05610982876,15,True
194437.52047635295,14,True,191279.05980397871,11,True
191540.10400593784,12,True,192837.93872054806,12,True
194663.66390092438,14,True,193735.200654947,14,True
194449.21000654917,11,True,191905.28800039765,11,True
192714.54173414217,11,True,191649.2934222014,11,True
195060.87334976823,18,True,191905.28800039765,11,True
193500.73541554116,12,True,191279.05980397871,11,True
194235.12114328236,11,True,191279.05980397871,11,True
193984.4572491653,11,True,193280.27147090124,14,True
194883.52788985896,13,True,191279.05980397871,11,True
195372.08689880872,12,True,191279.05980397871,11,True
191750.13578360176,11,True,192865.2821059509,14,True
194990.81730276102,11,True,192837.93872054806,12,True
192337.6529913418,10,True,191279.05980397871,11,True
193399.95262389636,11,True,191617.4848826697,12,True
-197694.96139690265,11,True,191279.05980397871,11,True
199575.50045477189,14,True,191279.05980397871,11,True
-93293.37690650273,34,False,195575.85966351957,14,True
194449.5108395267,11,True,191905.28800039765,11,True
194708.648627471,12,True,191279.05980397871,11,True
192337.6529913418,10,True,191279.05980397871,11,True
201788.6033766063,16,True,191279.05980397871,11,True
192337.6529913418,10,True,192837.93872054806,12,True
194449.21000654917,11,True,191279.05980397871,11,True
-182230.3475034271,27,False,191279.05980397871,11,True
195683.1839732109,17,True,191279.05980397871,11,True
191367.27653166,12,True,193464.17098003923,12,True
195985.6506066953,14,True,192837.93872054806,12,True
196388.93071390069,13,True,191279.05980397871,11,True
193566.52031123303,15,True,192837.93872054806,12,True
191298.33916358917,10,True,192865.2821059509,14,True
-194111.01223271393,15,True,192837.93872054806,12,True
195141.44094925717,12,True,191905.28800039765,11,True
194969.56263892868,13,True,190251.4614688675,13,True
194917.23401352222,12,True,191279.05980397871,11,True
-192301.65342008654,12,False,193464.1647125832,12,True
194010.33672908202,11,True,191279.05980397871,11,True
200893.93159578848,15,True,192837.93872054806,12,True
194111.5440694003,11,True,191279.05980397871,11,True
197186.93547725733,12,True,192837.93872054806,12,True
195998.31289084387,12,True,191905.28800039765,11,True
196981.6624642714,13,True,191905.28800039765,11,True
195272.19944917716,14,True,192582.02303379474,12,True
-188404.23417626548,18,True,194981.31022377734,13,True
194490.98475625628,11,True,189385.10391009104,14,True
192464.37951445882,11,True,191279.05980397871,11,True
196299.1982805591,12,True,191279.05980397871,11,True
194449.21000654917,11,True,191279.05980397871,11,True
191468.31846669057,12,True,191905.28800039765,11,True
192334.68409167355,11,True,191617.4848826697,12,True
192337.6529913418,10,True,191279.05980397871,11,True
194969.55237020738,13,True,191279.05980397871,11,True
193383.96956943418,11,True,192837.93872054806,12,True
193529.64804668163,11,True,193464.1647125832,12,True
196223.80180764463,20,True,194981.31022377734,13,True
193383.96956943418,11,True,194981.31022377734,13,True
194969.56276832952,13,True,191905.28800039765,11,True
191753.14836607286,10,True,191905.28800039765,11,True
192691.82258880135,11,True,192837.93872054806,12,True
-188659.62161122294,22,False,191279.05980397871,11,True
195075.87799917453,11,True,191279.05980397871,11,True
194979.28237873045,13,True,195575.85966351957,14,True
192337.6529913418,10,True,191279.05980397871,11,True
195103.28216946014,16,True,191279.05980397871,11,True
195241.47326577242,11,True,191617.4848826697,12,True
195750.84518469905,16,True,192837.93872054806,12,True
193332.81776097664,13,True,191279.05980397871,11,True
192337.6529913418,10,True,191279.05980397871,11,True
204200.34055061502,16,True,191279.05980397871,11,True
190749.1500854024,15,True,191279.05980397871,11,True
192337.6529913418,10,True,191905.28800039765,11,True
-191239.37025139443,15,False,197728.9531968772,15,True
195998.31289084387,12,True,191279.05980397871,11,True
197813.16146929248,12,True,191279.05980397871,11,True
191471.3920969299,11,True,191905.28800039765,11,True
194708.648627471,12,True,194981.31022377734,13,True
191882.84378885812,10,True,197934.83723668772,15,True
-194664.73112320236,15,False,192582.02303379474,12,True
189773.54118915866,12,True,191279.05980397871,11,True
192337.6529913418,10,True,191279.05980397871,11,True
-181797.299784371,34,False,191279.05980397871,11,True
191964.54696795408,11,True,194981.31022377734,13,True
195509.51757727578,20,True,191279.05980397871,11,True
192337.6529913418,10,True,191905.28800039765,11,True
196339.65822921685,17,True,191279.05980397871,11,True
195253.80723366034,21,True,191279.05980397871,11,True
202662.11425083273,14,True,195575.85966351957,14,True
187853.2386318199,19,True,192837.93872054806,12,True
194969.56263892868,13,True,191279.05980397871,11,True
200079.14011573675,17,True,198099.05610982876,15,True
201009.13363572804,14,True,191279.05980397871,11,True
-191247.78468646252,15,False,191279.05980397871,11,True
